,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
53,Binance-Peg ... (LTC),2021-03-15 22:30:32.079,2021-03-18 23:58:54.105,2,25.108524768509483,20.688702753075212
54,Binance-Peg ... (SUSHI),2021-03-11 21:19:17.819,2021-03-16 23:02:05.072,2,250.0,200.0
55,Binance-Peg ... (UNI),2021-03-19 18:21:46.478,2021-03-19 18:21:46.478,1,5.53523762,5.53523762
56,Binance-Peg ... (USDC),2021-03-11 08:37:35.556,2021-03-21 15:17:48.112,3,5829025.640852497,5774169.005106333
57,Bingo Cash (BGO),2021-03-18 23:58:54.068,2021-03-18 23:58:54.068,1,0.07419762481318846,0.07419762481318846
58,Bingo Share (sBGO),2021-03-18 17:52:21.963,2021-03-22 13:09:04.338,6,0.0770625469,0.0316748753
59,BitBlocks Fi... (BBFI),2021-03-18 03:35:33.355,2021-03-20 14:47:02.807,3,70.7429062427,62.5103469423
60,BlueToken (BLUE),2021-03-15 16:22:10.414,2021-03-20 20:54:54.082,3,35.0684915921,34.3755458515
61,Bogged Finan... (BOG),2021-03-18 17:52:22.021,2021-03-25 16:07:09.459,3,92.9226672342,46.4038319785
62,Borshchik (BORSHC...),2021-03-11 18:56:42.187,2021-03-11 18:56:42.187,1,656.25,656.25
63,BrickChain (BRICK),2021-03-14 22:54:54.932,2021-03-23 08:23:24.102,6,1793.1430410915998,1186.6752437152
64,Bunny Token (BUNNY),2021-03-15 16:22:10.402,2021-03-24 11:10:46.243,10,25.6289632762,8.0103928646
65,COMPLUS (COM),2021-03-15 22:30:32.087,2021-03-15 22:30:32.087,1,78.0,78.0
66,CafeSwap Tok... (BREW),2021-03-10 20:45:53.554,2021-03-22 13:16:31.190,7,28.42329795,21.2671391667
67,Cake or Deat... (COD),2021-03-16 23:02:02.106,2021-03-16 23:02:02.106,1,5.178817448,5.178817448
68,CardSwap Tok... (CARD),2021-03-10 20:45:53.472,2021-03-10 20:45:53.472,1,35.0,35.0
69,CheeseSwap I... (CID),2021-03-11 05:26:53.773,2021-03-21 15:17:48.130,3,111.8615079365,59.4107142857
70,CheesecakeSw... (CCAKE),2021-03-17 07:10:46.425,2021-03-20 20:54:54.168,2,19.3704083703,16.2906313002
71,CherryBlosso... (BLOSS),2021-03-20 10:43:29.110,2021-03-20 10:43:29.110,1,15795.94395123,15795.94395123
72,Chi Gastoken... (CHI),2021-03-14 22:54:54.735,2021-03-24 07:02:51.628,14,696.0,250.0
73,Chicken Keba... (CHIk),2021-03-23 07:41:23.839,2021-03-23 07:41:23.839,1,143.2470755443,143.2470755443
74,CocosTokenV2 (COCOS),2021-03-14 14:59:31.204,2021-03-14 14:59:31.204,1,6.19,6.19
75,Community St... (CSE),2021-03-16 23:02:05.073,2021-03-16 23:02:05.073,1,4.55,4.55
76,Conquer Swap... (BOAT),2021-03-21 15:17:48.196,2021-03-21 15:17:48.196,1,0.5088339223,0.5088339223
77,Contentos (COS),2021-03-16 23:02:05.099,2021-03-16 23:02:05.099,1,44403.7824368179,44403.7824368179
78,CoralFarm To... (CRL),2021-03-11 21:19:17.761,2021-03-17 13:17:11.984,2,2.8244274809,2.0
79,Corona Virus (VIRUS),2021-03-11 18:09:30.237,2021-03-20 14:47:02.872,5,268.7670194885,264.8640671731
80,Croco Vector... (CVV),2021-03-11 01:29:43.293,2021-03-11 01:29:43.293,1,0.016153846200000002,0.016153846200000002
81,Cryptoz eXPe... (CZXP),2021-03-14 14:59:31.226,2021-03-21 13:15:30.205,7,967.0,480.0
82,Cub Finance (CUB),2021-03-11 05:26:53.860,2021-03-22 13:16:31.246,3,5.2983997514,4.7142857143
83,DARUMA (DARUMA),2021-03-18 17:52:21.986,2021-03-18 17:52:21.986,1,2851206.68176954,2851206.68176954
84,DEFI 100 (D100),2021-03-11 11:46:57.196,2021-03-11 11:46:57.196,1,23685.221455278,23685.221455278
85,DF-BUSD-POOL (DF-BUS...),2021-03-21 13:15:30.176,2021-03-21 13:15:30.176,1,3041.6628708757,3041.6628708757
86,DFuture Toke... (DFT),2021-03-11 11:46:57.098,2021-03-15 11:21:13.232,2,2557.890861,2553.0
87,DODO bird (DODO),2021-03-11 01:29:40.352,2021-03-21 15:17:48.105,2,3.0401227902,3.0392584156
88,DUSA (DUSA),2021-03-20 14:47:02.864,2021-03-20 14:47:02.864,1,0.57362347,0.57362347
89,DXS TOKEN (DXS),2021-03-21 05:03:37.336,2021-03-21 05:03:37.336,1,0.0602895871,0.0602895871
90,DailySwap To... (DailyS),2021-03-11 11:46:57.112,2021-03-21 21:25:36.940,3,15306.1012691427,15106.1012691427
91,Data Leak C1... (TOPSEC...),2021-03-25 16:07:09.468,2021-03-25 16:07:09.468,1,1081.8517041075,1081.8517041075
92,Dimsum (DMS),2021-03-21 13:15:30.263,2021-03-22 13:09:04.260,2,110523760.37045994,108343917.01977886
93,Dino Token (DINO),2021-03-14 22:07:23.391,2021-03-16 23:02:04.995,3,3.1472392638,2.9447852761
94,Divine Lock (DVL),2021-03-23 08:23:24.085,2021-03-23 08:23:24.092,2,12258.5603619462,8419.8035344979
95,Doraemon (DORAE),2021-03-11 18:57:26.860,2021-03-11 18:57:26.860,1,10050888794.127012,10050888794.127012
96,Doritos Coin (DPUMP),2021-03-10 20:45:53.543,2021-03-10 20:45:53.543,1,1.571304196,1.571304196
97,Dragon Aces (Aces),2021-03-20 14:47:02.798,2021-03-20 14:47:02.798,1,493085932.8032791,493085932.8032791
98,Duck Token (DUCK),2021-03-14 22:53:33.942,2021-03-24 11:10:46.186,2,1924.3059356238,1921.5988998481
99,ETNA Network (ETNA),2021-03-21 15:17:48.153,2021-03-21 15:17:48.153,1,619150.0,619150.0
100,Eclipse (ECP),2021-03-18 17:52:22.042,2021-03-18 17:52:22.042,1,34.7234042553,34.7234042553
101,Egg Plant To... (EGPL),2021-03-17 13:17:11.961,2021-03-17 13:17:11.961,1,10.0,10.0
102,Elastic BNB (XBN),2021-03-25 16:07:09.594,2021-03-25 16:07:09.594,1,64.0767347177,64.0767347177
103,Eleven.finan... (ELE),2021-03-18 03:35:33.382,2021-03-18 03:35:33.382,1,6.3272598937,6.3272598937
104,Ellipsis.fin... (3EPS),2021-03-24 07:02:54.587,2021-03-24 07:02:54.587,1,9992.6274957051,9992.6274957051
105,Energy Token (Energy),2021-03-17 13:17:11.893,2021-03-21 21:25:37.007,8,113.4416485518,97.3856589685
106,Eva (EVA),2021-03-21 13:15:30.278,2021-03-21 13:15:30.278,1,28.16,28.16
107,Extend Finan... (EXF),2021-03-26 18:58:09.779,2021-03-26 18:58:09.779,1,25542.774229112,25542.774229112
108,FEGtoken (FEG),2021-03-14 22:53:33.974,2021-03-26 18:58:09.767,3,2479428027370.793,2450000000000.0
109,FOREST Finan... (FOREST),2021-03-23 18:38:53.415,2021-03-23 18:38:53.585,2,0.3199102286,0.2557442481
110,FREE coin BS... (FREE),2021-03-11 05:26:53.794,2021-03-22 13:16:31.223,4,114548087.36722927,100000000.0
111,Falopa (FLP),2021-03-20 20:54:54.127,2021-03-20 20:54:54.127,1,0.0067841234000000005,0.0067841234000000005
112,Farming: 1in... (farm-1...),2021-03-11 18:09:33.184,2021-03-11 18:09:33.184,1,55.4110802931,55.4110802931
113,Fero (Fero),2021-03-15 22:30:32.092,2021-03-15 22:30:32.092,1,7.619614283550725,7.619614283550725
114,FireBull Tok... (FBull),2021-03-22 13:09:04.357,2021-03-22 13:09:04.361,2,86.5061247228,63.4892889742
